,name,price,roof,foundation,floor,productURL
0,DANIEL CORNER LOG CABIN 2.6X2.6M,"2,527.30",Black Straight (+£121.09),26mm Floor Required (+£284.03),Tanalised Profiled (+£42.78),https://www.tuin.co.uk/Daniel-Corner-Log-Cabin-2.6x2.6m.html
0,EMMA CORNER LOG CABIN 3.0M X 3.0M - 40MM LOGS,"3,246.76",Black Straight (+£145.31),26mm Floor Required (+£274.46),Tanalised Profiled (+£75.73),https://www.tuin.co.uk/Emma-Corner-Log-Cabin.html
